"codigo_comuna";"year";"month";"Mortality_Count";"pop75";"mortality";"codigo_region";"codigo_provincia";"pop_pm25";"total_pop";"pm25_exposure";"pm25Exp_10ug";"quarter";"region";"commune";"quarter_text"
13123;"2015";"10";62;11195;5.53818669048682;13;131;2363610.94555337;139876;16.8979020386154;1.68979020386154;"4";"13";"13123";"Spring"
13123;"2015";"11";58;11195;5.18088432335864;13;131;2257424.33083351;139876;16.1387538307752;1.61387538307752;"4";"13";"13123";"Spring"
13123;"2015";"12";49;11195;4.37695399732023;13;131;2404570.45375851;139876;17.190729315669;1.7190729315669;"4";"13";"13123";"Spring"
13123;"2016";"1";64;11195;5.71683787405092;13;131;2220843.43555613;139876;15.8772300863346;1.58772300863346;"1";"13";"13123";"Summer"
13123;"2016";"2";46;11195;4.1089772219741;13;131;1819001.07134943;139876;13.0043829631204;1.30043829631204;"1";"13";"13123";"Summer"
13123;"2016";"3";66;11195;5.89548905761501;13;131;3548184.6047915;139876;25.3666433469037;2.53666433469037;"1";"13";"13123";"Summer"
13123;"2016";"4";63;11195;5.62751228226887;13;131;3973628.34614205;139876;28.4082211826335;2.84082211826335;"2";"13";"13123";"Fall"
13123;"2016";"5";64;11195;5.71683787405092;13;131;5364274.89393693;139876;38.3502165770892;3.83502165770892;"2";"13";"13123";"Fall"
13123;"2016";"6";74;11195;6.61009379187137;13;131;6409810.8912882;139876;45.8249513232306;4.58249513232306;"2";"13";"13123";"Fall"
13123;"2016";"7";76;11195;6.78874497543546;13;131;5538274.64948846;139876;39.5941737645376;3.95941737645376;"3";"13";"13123";"Winter"
13123;"2016";"8";56;11195;5.00223313979455;13;131;5801775.31449933;139876;41.4779898946162;4.14779898946162;"3";"13";"13123";"Winter"
13123;"2016";"9";75;11195;6.69941938365342;13;131;3554523.44468109;139876;25.4119609131022;2.54119609131022;"3";"13";"13123";"Winter"
13123;"2016";"10";54;11195;4.82358195623046;13;131;2030953.75274143;139876;14.5196728012056;1.45196728012056;"4";"13";"13123";"Spring"
13123;"2016";"11";60;11195;5.35953550692273;13;131;2110026.54120431;139876;15.0849791329771;1.50849791329771;"4";"13";"13123";"Spring"
13123;"2016";"12";56;11195;5.00223313979455;13;131;2824698.4663365;139876;20.1943040002323;2.01943040002323;"4";"13";"13123";"Spring"
13123;"2017";"1";68;11195;6.0741402411791;13;131;5365989.88256152;139876;38.3624773553827;3.83624773553827;"1";"13";"13123";"Summer"
13123;"2017";"2";57;11195;5.0915587315766;13;131;2279181.35294463;139876;16.2942989000588;1.62942989000588;"1";"13";"13123";"Summer"
13123;"2017";"3";70;11195;6.25279142474319;13;131;2580527.67038382;139876;18.4486807628458;1.84486807628458;"1";"13";"13123";"Summer"
