CODIGO_COMUNA_RESIDENCIA,Year,Quarter,Mortality_Count
5702,2016,2,14
5702,2016,3,15
5702,2016,4,13
5702,2017,1,11
5702,2017,2,15
5702,2017,3,7
5702,2017,4,9
5702,2018,1,7
5702,2018,2,11
5702,2018,3,10
5702,2018,4,11
5702,2019,1,7
5702,2019,2,13
5702,2019,3,14
5702,2019,4,13
5703,2015,1,23
5703,2015,2,9
5703,2015,3,20
5703,2015,4,17
5703,2016,1,14
5703,2016,2,24
5703,2016,3,35
5703,2016,4,18
5703,2017,1,17
5703,2017,2,26
5703,2017,3,28
5703,2017,4,20
5703,2018,1,19
5703,2018,2,29
5703,2018,3,28
5703,2018,4,20
5703,2019,1,16
5703,2019,2,28
5703,2019,3,22
5703,2019,4,20
5704,2015,1,5
5704,2015,2,9
5704,2015,3,6
5704,2015,4,7
5704,2016,1,5
5704,2016,2,9
5704,2016,3,4
5704,2016,4,4
5704,2017,1,7
5704,2017,2,7
5704,2017,3,6
5704,2017,4,7
5704,2018,1,6
5704,2018,2,11
5704,2018,3,6
5704,2018,4,5
5704,2019,1,4
5704,2019,2,5
5704,2019,3,5
5704,2019,4,3
5705,2015,1,19
5705,2015,2,17
5705,2015,3,25
5705,2015,4,20
5705,2016,1,16
5705,2016,2,17
5705,2016,3,18
5705,2016,4,18
5705,2017,1,12
5705,2017,2,25
5705,2017,3,23
5705,2017,4,20
5705,2018,1,9
5705,2018,2,18
5705,2018,3,20
5705,2018,4,15
5705,2019,1,12
5705,2019,2,17
5705,2019,3,17
5705,2019,4,25
5706,2015,1,8
5706,2015,2,9
5706,2015,3,11
5706,2015,4,15
5706,2016,1,10
5706,2016,2,15
5706,2016,3,11
5706,2016,4,10
