"region";"province";"commune";"site";"longitude";"latitude";"year";"month";"pollutant";"value";"n";"completeness";"pm25_satellite"
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;1;"mp2.5";14.4657740740741;27;87.0967741935484;9.05805007521921
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;2;"mp2.5";14.518716;25;80.6451612903226;10.5666892360223
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;5;"mp2.5";29.7625666666667;30;96.7741935483871;14.5
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;6;"mp2.5";31.4364931034483;29;93.5483870967742;12.1337162529006
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;7;"mp2.5";31.1992466666667;30;96.7741935483871;12.4180058211277
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;8;"mp2.5";20.2689064516129;31;100;13.4831419838996
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;9;"mp2.5";16.0484933333333;30;96.7741935483871;13.7915875193924
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;10;"mp2.5";13.3913248387097;31;100;12.6831745468094
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;11;"mp2.5";11.1216183333333;30;96.7741935483871;9.39216000798494
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2015;12;"mp2.5";10.8163487096774;31;100;9.55837235894188
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;1;"mp2.5";8.38199166666667;30;96.7741935483871;9.35024285291123
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;2;"mp2.5";10.6695489655172;29;93.5483870967742;9.89128895139057
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;3;"mp2.5";11.248504;30;96.7741935483871;12.5490560381303
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;4;"mp2.5";11.6324613333333;30;96.7741935483871;11.8657265100453
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;5;"mp2.5";17.855964516129;31;100;16.308411908403
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;6;"mp2.5";21.2186620689655;29;93.5483870967742;11.9000323721749
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;7;"mp2.5";19.4075843333333;30;96.7741935483871;12.9505735060615
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;8;"mp2.5";20.5409751612903;31;100;14.9333937626922
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;9;"mp2.5";15.4421736666667;30;96.7741935483871;17.2338768217889
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;10;"mp2.5";12.0668573076923;26;83.8709677419355;11.8999996185303
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;11;"mp2.5";11.1153706666667;30;96.7741935483871;9.42523755232849
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2016;12;"mp2.5";10.3945641935484;31;100;10.2585333913775
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;1;"mp2.5";11.5971038709677;31;100;9.06678495005516
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;2;"mp2.5";10.4666367857143;28;90.3225806451613;11.390296062849
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;3;"mp2.5";11.8870167857143;28;90.3225806451613;11.7739781350496
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;4;"mp2.5";14.2710043333333;30;96.7741935483871;11.1895599065617
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;5;"mp2.5";16.258064516129;31;100;14.6337162529006
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;6;"mp2.5";15.9333333333333;30;96.7741935483871;16.1499363375975
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;7;"mp2.5";21.9354838709677;31;100;18.4252703059731
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;8;"mp2.5";18.1034482758621;29;93.5483870967742;16.0831423653693
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;9;"mp2.5";14.5333333333333;30;96.7741935483871;15.0254644229473
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;10;"mp2.5";14.5666666666667;30;96.7741935483871;13.6831419539347
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;11;"mp2.5";11.2333333333333;30;96.7741935483871;8.98291557497974
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2017;12;"mp2.5";10.2258064516129;31;100;10.9502821478429
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;1;"mp2.5";10.0357142857143;28;90.3225806451613;9.43390092051625
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;2;"mp2.5";10.3571428571429;28;90.3225806451613;10.0154774973168
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;3;"mp2.5";11.8387096774194;31;100;12.0078877104832
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;4;"mp2.5";14.2;30;96.7741935483871;15.1072823577403
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;5;"mp2.5";22.8666666666667;30;96.7741935483871;15.9168903080461
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;6;"mp2.5";18.6206896551724;29;93.5483870967742;13.4168903080461
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;7;"mp2.5";18.7741935483871;31;100;15.8247935314134
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;8;"mp2.5";19.8;30;96.7741935483871;15.241102790393
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;9;"mp2.5";14.8333333333333;30;96.7741935483871;16.1501299925611
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;10;"mp2.5";13.0645161290323;31;100;13.4168903080461
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;11;"mp2.5";9.24137931034483;29;93.5483870967742;8.53288372829837
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2018;12;"mp2.5";9.32258064516129;31;100;9.42530115124799
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2019;1;"mp2.5";8.79166666666667;24;77.4193548387097;9.35015369437945
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2019;2;"mp2.5";7.45833333333333;24;77.4193548387097;9.91547711584706
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2019;3;"mp2.5";10.3870967741935;31;100;11.9158232115822
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2019;4;"mp2.5";12.4333333333333;30;96.7741935483871;11.915855884686
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2019;5;"mp2.5";13.8064516129032;31;100;13.8337160621657
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2019;6;"mp2.5";18.4333333333333;30;96.7741935483871;15.0267406817496
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2019;7;"mp2.5";18.2258064516129;31;100;15.5246325952694
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2019;8;"mp2.5";18.9666666666667;30;96.7741935483871;16.0495245138733
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2019;9;"mp2.5";9.3;30;96.7741935483871;14.8168907997099
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2019;10;"mp2.5";10.9677419354839;31;100;14.4001939104884
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2019;11;"mp2.5";9.17241379310345;29;93.5483870967742;9.59123235576857
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2019;12;"mp2.5";8.38709677419355;31;100;10.9333915388678
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2020;1;"mp2.5";6.5;30;96.7741935483871;9.5838694553046
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2020;2;"mp2.5";7.83333333333333;24;77.4193548387097;11.1069035885898
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2020;3;"mp2.5";10.258064516129;31;100;11.081881057488
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2020;4;"mp2.5";10.6666666666667;30;96.7741935483871;12.15754051705
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2020;5;"mp2.5";15.3;30;96.7741935483871;17.1170195401998
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2020;6;"mp2.5";16.5357142857143;28;90.3225806451613;11.6253035815581
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2020;7;"mp2.5";16.1935483870968;31;100;12.9253355722633
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2020;8;"mp2.5";14.1290322580645;31;100;14.5
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2020;9;"mp2.5";13.4137931034483;29;93.5483870967742;15.1585423472238
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2020;10;"mp2.5";10.6451612903226;31;100;13.4915546552421
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2020;11;"mp2.5";8.67857142857143;28;90.3225806451613;8.04987056933802
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2020;12;"mp2.5";8.13333333333333;30;96.7741935483871;10.9249461941099
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2021;1;"mp2.5";9.48387096774194;31;100;8.85012102096399
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2021;2;"mp2.5";8.17857142857143;28;90.3225806451613;9.84855475463386
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2021;3;"mp2.5";9.41935483870968;31;100;11.0317839587305
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2021;4;"mp2.5";11.1785714285714;28;90.3225806451613;12.1657593741956
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2021;5;"mp2.5";16.1;30;96.7741935483871;14.5337158714308
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2021;6;"mp2.5";17.2666666666667;30;96.7741935483871;11.9168576346307
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2021;7;"mp2.5";16.741935483871;31;100;17.4337156507311
"III";"Copiapó";"Copiapó";"Copiapo Sivica";-70.3233122971258;-27.3700082456468;2021;8;"mp2.5";15.1379310344828;29;93.5483870967742;19.4831419838996
