CODIGO_COMUNA_RESIDENCIA,Year,Gender,Death_count_all_cause,Mean_age,Age group
2201,2009,Mujer,116,83.79310344827586,75+
2201,2010,Hombre,126,82.77777777777777,75+
2201,2010,Mujer,118,84.7542372881356,75+
2201,2011,Hombre,97,82.4639175257732,75+
2201,2011,Mujer,124,83.85483870967742,75+
2201,2012,Hombre,122,82.20491803278688,75+
2201,2012,Mujer,123,83.4390243902439,75+
2201,2013,Hombre,109,82.79816513761467,75+
2201,2013,Mujer,114,84.78947368421052,75+
2201,2014,Hombre,140,83.2,75+
2201,2014,Mujer,112,84.41964285714286,75+
2201,2015,Hombre,117,84.86324786324786,75+
2201,2015,Mujer,138,85.1376811594203,75+
2201,2016,Hombre,134,84.19402985074628,75+
2201,2016,Mujer,134,84.79850746268657,75+
2201,2017,Hombre,126,82.89682539682539,75+
2201,2017,Mujer,167,85.88023952095809,75+
2201,2018,Hombre,146,82.81506849315069,75+
2201,2018,Mujer,172,85.52906976744185,75+
2201,2019,Hombre,128,84.21875,75+
2201,2019,Mujer,158,85.65822784810126,75+
2202,1991,Hombre,1,77.0,75+
2202,2009,Hombre,1,75.0,75+
2202,2013,Mujer,1,91.0,75+
2202,2019,Mujer,1,80.0,75+
2203,1990,Hombre,2,79.5,75+
2203,1990,Mujer,5,82.4,75+
2203,1991,Hombre,3,86.66666666666667,75+
2203,1991,Mujer,3,83.66666666666667,75+
2203,1992,Hombre,3,82.33333333333333,75+
2203,1992,Mujer,6,79.66666666666667,75+
2203,1993,Hombre,6,82.0,75+
2203,1993,Mujer,3,92.0,75+
2203,1994,Hombre,1,81.0,75+
2203,1994,Mujer,3,90.33333333333333,75+
2203,1995,Hombre,4,86.25,75+
2203,1995,Mujer,6,85.83333333333333,75+
2203,1996,Hombre,2,82.0,75+
2203,1996,Mujer,2,81.0,75+
2203,1997,Mujer,5,87.4,75+
2203,1998,Hombre,6,82.66666666666667,75+
2203,1998,Mujer,5,88.4,75+
2203,1999,Hombre,9,84.66666666666667,75+
